depth,water_content,D17O,d18O,temperature
2.5,0.0008,-18,-2.9742,24
7.5,0.0012,-125,2.2838,24
7.5,0.0012,-127,2.4434,24
12.5,0.0023,-154,4.3853,24
17.5,0.0034,-94,3.1365,24
22.5,0.0049,-62,-1.0319,24
27.5,0.0079,-35,-4.6805,24
35,0.014,46,-9.7521,24
45,0.0229,22,-12.8693,24
55,0.0385,68,-13.747,24
85,0.0567,33,-13.342,24
95,0.0623,48,-13.5344,24
