depth,water_content,D17O,d18O,temperature
7.5,0.0096,30,-13.0426,15
35,0.0202,19,-14.0297,15
12.5,0.0099,74,-13.2413,15
27.5,0.0104,82,-13.4486,15
2.5,0.0096,-19,-6.3997,15
22.5,0.0112,25,-13.1175,15
65,0.0357,26,-13.5086,15
95,0.0569,72,-13.6942,15
55,0.0286,6,-13.6014,15
17.5,0.0132,22,-13.1184,15
