depth,water_content,D17O,d18O,temperature
27.5,0.0077,-53,-3.0515,24
12.5,0.0014,-134,0.5646,24
17.5,0.0025,-174,1.6638,24
2.5,0.0014,-67,-3.816,24
35,0.0113,-50,-6.0938,24
95,0.0682,-6,-12.9987,24
22.5,0.0035,-91,0.2478,24
55,0.0355,42,-13.0166,24
7.5,0.001,-87,-1.6175,24
